		Document: 7057			with 15790 symbols, 1895 words and 4035 tokens processed in 3.4183545112609863 sec
		Document: 7056			with 7879 symbols, 1019 words and 2211 tokens processed in 3.0674381256103516 sec
		Document: 7055			with 14439 symbols, 1666 words and 3523 tokens processed in 6.668961763381958 sec
		Document: 7054			with 38195 symbols, 4541 words and 10082 tokens processed in 19.004764795303345 sec
		Document: 7053			with 16800 symbols, 2108 words and 4655 tokens processed in 4.795079231262207 sec
		Document: 7052			with 18920 symbols, 2237 words and 4761 tokens processed in 8.280733823776245 sec
		Document: 7051			with 19684 symbols, 2471 words and 5533 tokens processed in 7.496850490570068 sec
		Document: 7050			with 19296 symbols, 2339 words and 4960 tokens processed in 8.653177738189697 sec
		Document: 7049			with 7914 symbols, 891 words and 1995 tokens processed in 2.4454634189605713 sec
		Document: 7048			with 11576 symbols, 1440 words and 3054 tokens processed in 6.132579803466797 sec
		Document: 7047			with 14562 symbols, 1664 words and 3620 tokens processed in 4.44457221031189 sec
		Document: 7046			with 7134 symbols, 849 words and 1861 tokens processed in 2.93377685546875 sec
		Document: 7045			with 19125 symbols, 2424 words and 5299 tokens processed in 7.633697986602783 sec
		Document: 7044			with 12250 symbols, 1458 words and 3108 tokens processed in 5.443586349487305 sec
		Document: 7043			with 10047 symbols, 1225 words and 2724 tokens processed in 5.16698694229126 sec
		Document: 7042			with 25955 symbols, 3215 words and 7411 tokens processed in 9.790308713912964 sec
		Document: 7041			with 10277 symbols, 1222 words and 2605 tokens processed in 5.425766468048096 sec
		Document: 7040			with 24133 symbols, 2915 words and 6496 tokens processed in 10.5215322971344 sec
		Document: 7039			with 30413 symbols, 3696 words and 8117 tokens processed in 10.474639415740967 sec
		Document: 7038			with 30123 symbols, 3643 words and 8608 tokens processed in 10.505791187286377 sec
		Document: 7037			with 17683 symbols, 2156 words and 4723 tokens processed in 5.281059741973877 sec
		Document: 7036			with 24563 symbols, 2742 words and 6050 tokens processed in 8.399768352508545 sec
		Document: 7035			with 7700 symbols, 923 words and 2035 tokens processed in 3.3280911445617676 sec
		Document: 7034			with 18635 symbols, 2342 words and 4867 tokens processed in 10.058218002319336 sec
		Document: 7033			with 29603 symbols, 3806 words and 7797 tokens processed in 9.00434136390686 sec
		Document: 7032			with 12446 symbols, 1520 words and 3295 tokens processed in 6.751716136932373 sec
		Document: 7031			with 17616 symbols, 2160 words and 4731 tokens processed in 5.579560041427612 sec
		Document: 7030			with 22036 symbols, 2777 words and 6153 tokens processed in 8.490989208221436 sec
		Document: 7029			with 12639 symbols, 1583 words and 3411 tokens processed in 4.37790060043335 sec
		Document: 7028			with 13254 symbols, 1618 words and 3695 tokens processed in 5.028614521026611 sec
		Document: 7027			with 19599 symbols, 2305 words and 5129 tokens processed in 6.142746448516846 sec
		Document: 7026			with 16758 symbols, 2115 words and 4483 tokens processed in 6.229443550109863 sec
		Document: 7025			with 14157 symbols, 1488 words and 3353 tokens processed in 6.828229188919067 sec
		Document: 7024			with 13921 symbols, 1737 words and 3691 tokens processed in 5.073622703552246 sec
		Document: 7023			with 12548 symbols, 1564 words and 3458 tokens processed in 7.744700193405151 sec
		Document: 7022			with 26299 symbols, 3285 words and 7221 tokens processed in 8.571593523025513 sec
